Alpha;SVM_1;SVM_2;SVM_3;WSVM_1;WSVM_2;WSVM_3;LSTM_1;LSTM_2;LSTM_3
1.58;0.766666667;0.8;0.833333333;0.766666667;0.8;0.833333333;0.833333333;0.866666667;0.9
1.605;0.766666667;0.8;0.833333333;0.666666667;0.7;0.733333333;0.933333333;0.966666667;1
1.63;0.7;0.733333333;0.766666667;0.666666667;0.7;0.733333333;0.8;0.833333333;0.866666667
1.655;0.933333333;0.966666667;1;0.833333333;0.866666667;0.9;0.966666667;1;-1
1.68;0.8;0.833333333;0.866666667;0.8;0.833333333;0.866666667;0.833333333;0.866666667;0.9
1.705;0.866666667;0.933333333;0.966666667;0.866666667;0.9;0.933333333;0.933333333;0.966666667;1
1.73;0.7;0.733333333;0.766666667;0.633333333;0.666666667;0.7;0.766666667;0.8;0.833333333
1.755;0.566666667;0.6;0.633333333;0.5;0.533333333;0.566666667;0.866666667;0.9;0.933333333
1.78;0.766666667;0.8;0.833333333;0.7;0.733333333;0.766666667;0.8;0.833333333;0.866666667
1.805;0.6;0.633333333;0.7;0.533333333;0.566666667;0.6;0.733333333;0.766666667;0.8
